docdb_family_id,appln_id,appln_filing_year,appln_auth,appln_nr,docdb_family_size,earliest_publn_date,nb_applicants,nb_inventors,person_ctry_code,person_name,person_id,doc_std_name_id,psn_sector,applt_seq_nr,invt_seq_nr
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,ERIKSSON ERIK,59516122,981747,,0,3
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,WURNITSCH CHRISTOF,60357507,347773,,0,5
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,VIJAY SAMEER,63194522,1797341,,0,4
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,ZITTING SAMULI,65279550,427239,,0,6
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,AJELLAL NOUREDDINE,72523775,4583764,,0,8
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,AL-HAJ ALI MOHAMMAD,77960975,21451701,,0,1
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,"BERGSTEDT, MARTIN",86283352,40762489,UNKNOWN,0,2
69104324,577554255,2020,CN,202080090490,7,2022-08-12,1,8,  ,"SLAECHTER, HEINZ",87964162,40778887,UNKNOWN,0,7
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,AL HAJ ALI MOHAMMAD,58247705,25212763,,0,1
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,ERIKSSON ERIK,58468864,981747,,0,3
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,BERGSTRA MICHIEL,58907927,345252,,0,2
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,SLEIJSTER HENRY,60018655,23840216,,0,7
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,WURNITSCH CHRISTOF,60582909,347773,,0,5
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,ZITTING SAMULI,60721578,427239,,0,6
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,VIJAY SAMEER,66784082,1797341,,0,4
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,AT,BOREALIS AG,68518365,8901,COMPANY,1,0
69104324,578015386,2020,KR,20227021964,7,2022-08-02,1,8,  ,AJELLAL NOUREDDINE,86250433,4583764,UNKNOWN,0,8
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,AT,Borealis AG,5459912,8901,COMPANY,1,0
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,FI,"ZITTING, SAMULI",13086289,427239,INDIVIDUAL,0,6
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,SE,"ERIKSSON, ERIK",24596329,981747,INDIVIDUAL,0,3
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,AT,"WURNITSCH, CHRISTOF",25690347,347773,INDIVIDUAL,0,5
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,BE,"BERGSTRA, MICHIEL",42359950,345252,INDIVIDUAL,0,2
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,FI,"AJELLAL, NOUREDDINE",44687988,4583764,,0,8
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,FI,"AL-HAJ ALI, MOHAMMAD",47570263,21451701,,0,1
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,AT,"VIJAY, SAMEER",53023914,1797341,,0,4
69104324,579784743,2020,CA,3163288,7,2021-07-08,1,8,NL,"SLEIJSTER, Henry",55563395,23840216,,0,7
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,AT,Borealis AG,11571759,8901,COMPANY,1,0
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,SE,"Eriksson, Erik",11932274,981747,INDIVIDUAL,0,2
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,AT,"Vijay, Sameer",55802865,1978010,,0,3
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,NL,"Sleijster, Henry",77804876,23840216,,0,6
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,BE,"Bergstra, Michiel",79506362,21451701,,0,1
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,FI,"Ajellal, Noureddine",83472708,158301,UNKNOWN,0,7
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,AT,"Wumitsch, Christof",85969505,1797341,UNKNOWN,0,4
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,FI,"Zitting, Samuli",86022892,39074381,UNKNOWN,0,5
69104324,583589757,2020,US,202017774967,7,2022-12-01,1,8,FI,"Al-haj Ali, Mohammad",86027965,21451701,UNKNOWN,0,8
69104328,524393880,2020,EP,20150108,7,2021-07-07,1,3,AT,Borealis AG,10503,8901,COMPANY,1,0
69104328,524393880,2020,EP,20150108,7,2021-07-07,1,3,SE,"WEBER, Charlotta",79425600,32626800,,0,3
69104328,524393880,2020,EP,20150108,7,2021-07-07,1,3,FI,"AL-HAJ ALI, Mohammad",79448248,21451701,,0,1
69104328,524393880,2020,EP,20150108,7,2021-07-07,1,3,FI,"AJELLAL, Noureddine",79475690,4583764,,0,2
69104328,543430402,2020,WO,2020088021,7,2021-07-08,1,3,AT,Borealis AG,5459912,8901,COMPANY,1,0
69104328,543430402,2020,WO,2020088021,7,2021-07-08,1,3,FI,"AJELLAL, NOUREDDINE",44687988,4583764,,0,2
69104328,543430402,2020,WO,2020088021,7,2021-07-08,1,3,FI,"AL-HAJ ALI, MOHAMMAD",47570263,21451701,,0,1
69104328,543430402,2020,WO,2020088021,7,2021-07-08,1,3,FI,"WEBER, Charlotta",73393216,32626800,,0,3
69104328,564896282,2020,TW,109143895,7,2021-10-01,1,3,AT,Borealis AG,5459912,8901,COMPANY,1,0
69104328,564896282,2020,TW,109143895,7,2021-10-01,1,3,FI,"WEBER, Charlotta",73393216,32626800,,0,3
69104328,564896282,2020,TW,109143895,7,2021-10-01,1,3,JO,"AL-HAJ ALI, MOHAMMAD",80526472,21451701,,0,1
69104328,564896282,2020,TW,109143895,7,2021-10-01,1,3,MA,"AJELLAL, NOUREDDINE",82925365,4583764,UNKNOWN,0,2
69104328,579012644,2020,KR,20227023418,7,2022-08-17,1,3,  ,AL HAJ ALI MOHAMMAD,58247705,25212763,,0,1
69104328,579012644,2020,KR,20227023418,7,2022-08-17,1,3,AT,BOREALIS AG,68518365,8901,COMPANY,1,0
69104328,579012644,2020,KR,20227023418,7,2022-08-17,1,3,  ,AJELLAL NOUREDDINE,86250433,4583764,UNKNOWN,0,2
69104328,579012644,2020,KR,20227023418,7,2022-08-17,1,3,  ,WEBER CHARLOTTA,86850033,32626800,UNKNOWN,0,3
69104328,579313305,2020,CN,202080095357,7,2022-09-13,1,3,  ,BOREALIS AG,58640322,8901,COMPANY,1,0
69104328,579313305,2020,CN,202080095357,7,2022-09-13,1,3,  ,WEBER CHRISTOPH,60659020,95904,,0,3
69104328,579313305,2020,CN,202080095357,7,2022-09-13,1,3,  ,AJELLAL NOUREDDINE,72523775,4583764,,0,2
69104328,579313305,2020,CN,202080095357,7,2022-09-13,1,3,  ,AL-HAJ ALI MOHAMMAD,77960975,21451701,,0,1
69104328,579784797,2020,CA,3163307,7,2021-07-08,1,3,AT,Borealis AG,5459912,8901,COMPANY,1,0
69104328,579784797,2020,CA,3163307,7,2021-07-08,1,3,FI,"AJELLAL, NOUREDDINE",44687988,4583764,,0,2
69104328,579784797,2020,CA,3163307,7,2021-07-08,1,3,FI,"AL-HAJ ALI, MOHAMMAD",47570263,21451701,,0,1
69104328,579784797,2020,CA,3163307,7,2021-07-08,1,3,SE,"WEBER, Charlotta",78970840,32626800,,0,3
69104328,588125199,2020,US,202017790541,7,2023-03-02,1,3,AT,Borealis AG,11571759,8901,COMPANY,1,0
69104328,588125199,2020,US,202017790541,7,2023-03-02,1,3,FI,"Al-Haj Ali, Mohammad",74641164,21451701,,0,3
69104328,588125199,2020,US,202017790541,7,2023-03-02,1,3,FI,"Ajellal, Noureddine",74797086,1277836,,0,1
69104328,588125199,2020,US,202017790541,7,2023-03-02,1,3,SE,"Weber, Charlotta",86206177,23840216,UNKNOWN,0,2
69104451,524593839,2020,WO,2020050028,2,2021-07-08,1,5,SE,Telefonaktiebolaget LM Ericsson (publ),5262071,2211,COMPANY,1,0
69104451,524593839,2020,WO,2020050028,2,2021-07-08,1,5,SE,"FIKOURAS, IOANNIS",42445676,51736,INDIVIDUAL,0,3
69104451,524593839,2020,WO,2020050028,2,2021-07-08,1,5,SE,"KARAPANTELAKIS, ATHANASIOS",51920419,23364616,,0,1
69104451,524593839,2020,WO,2020050028,2,2021-07-08,1,5,SE,"TESLENKO, MAXIM",52065154,23438609,,0,4
69104451,524593839,2020,WO,2020050028,2,2021-07-08,1,5,SE,"ELEFTHERIADIS, Lackis",55291406,23958729,,0,5
69104451,524593839,2020,WO,2020050028,2,2021-07-08,1,5,SE,"JIN, Yifei",77217114,6716778,,0,2
69104451,587393252,2020,US,202017758137,2,2023-02-09,1,5,SE,Telefonaktiebolaget LM Ericsson (publ),5217733,2211,COMPANY,1,0
69104451,587393252,2020,US,202017758137,2,2023-02-09,1,5,SE,"Fikouras, Ioannis",11780424,51736,INDIVIDUAL,0,3
69104451,587393252,2020,US,202017758137,2,2023-02-09,1,5,SE,"TESLENKO, Maxim",54675046,23438609,,0,4
69104451,587393252,2020,US,202017758137,2,2023-02-09,1,5,SE,"KARAPANTELAKIS, Athanasios",74784109,23157079,,0,1
69104451,587393252,2020,US,202017758137,2,2023-02-09,1,5,SE,"JIN, Yifei",83573360,23958729,UNKNOWN,0,2
69104451,587393252,2020,US,202017758137,2,2023-02-09,1,5,SE,"ELEFTHERIADIS, Lackis",86077236,35723847,UNKNOWN,0,5
69105737,524398614,2020,EP,20150165,2,2020-07-08,1,4,SE,QlikTech International AB,5082017,23849231,COMPANY,1,0
69105737,524398614,2020,EP,20150165,2,2020-07-08,1,4,SE,"DIAZ LÃ“PEZ, JosÃ© Francisco",57801570,24842136,,0,1
69105737,524398614,2020,EP,20150165,2,2020-07-08,1,4,SE,"Nguyen, Khoa Tan",69869409,25890910,,0,3
69105737,524398614,2020,EP,20150165,2,2020-07-08,1,4,SE,"NILSSON, Johan",74508156,65020,,0,2
69105737,524398614,2020,EP,20150165,2,2020-07-08,1,4,SE,"Sun, Quan",74553178,5238405,,0,4
69105737,534171968,2020,US,202016736567,2,2020-07-09,1,4,SE,"Nilsson, Johan",7304520,65020,,0,1
69105737,534171968,2020,US,202016736567,2,2020-07-09,1,4,SE,Qliktech International AB,10560091,540426,COMPANY,1,0
69105737,534171968,2020,US,202016736567,2,2020-07-09,1,4,SE,"LÃ³pez, JosÃ© Diaz",50041067,22673742,,0,4
69105737,534171968,2020,US,202016736567,2,2020-07-09,1,4,SE,"Nguyen, Khoa Tan",57993667,25890910,,0,2
69105737,534171968,2020,US,202016736567,2,2020-07-09,1,4,SE,"Sun, Quan",74676681,25890910,,0,3
69137709,524398618,2020,EP,20150168,3,2020-07-08,1,4,SE,QlikTech International AB,5082017,23849231,COMPANY,1,0
69137709,524398618,2020,EP,20150168,3,2020-07-08,1,4,SE,"DIAZ LÃ“PEZ, JosÃ© Francisco",57801570,24842136,,0,1
69137709,524398618,2020,EP,20150168,3,2020-07-08,1,4,SE,"KRUPINSKI, Pawel Rafal",74467516,33108421,,0,3
69137709,524398618,2020,EP,20150168,3,2020-07-08,1,4,SE,"Nguyen, Khoa Tan",74470543,25890910,,0,4
69137709,524398618,2020,EP,20150168,3,2020-07-08,1,4,SE,"NILSSON, Johan",74573439,65020,,0,2
69137709,534166180,2020,US,202016736586,3,2020-07-09,1,4,SE,"Nilsson, Johan",7304520,65020,,0,1
69137709,534166180,2020,US,202016736586,3,2020-07-09,1,4,SE,Qliktech International AB,10560091,540426,COMPANY,1,0
69137709,534166180,2020,US,202016736586,3,2020-07-09,1,4,SE,"LÃ³pez, JosÃ© Diaz",50041067,22673742,,0,4
69137709,534166180,2020,US,202016736586,3,2020-07-09,1,4,SE,"Nguyen, Khoa Tan",57993667,25890910,,0,3
69137709,534166180,2020,US,202016736586,3,2020-07-09,1,4,SE,"Krupinski, Pawel Rafal",90943871,33108421,UNKNOWN,0,2
69137709,605232194,2023,US,202318446630,3,2024-01-25,1,4,SE,"Nilsson, Johan",7304520,65020,,0,4
69137709,605232194,2023,US,202318446630,3,2024-01-25,1,4,SE,Qliktech International AB,10560091,540426,COMPANY,1,0
